From_Station_Id|From_Station|To_Station_Id|To_Station|Tube_Line
456|Reedham|140|Coulsdon Town|Southern
461|Riddlesdown|577|Upper Warlingham|Southern
472|Sanderstead|461|Riddlesdown|Southern
474|Selhurst|172|East Croydon|Southern
474|Selhurst|609|West Croydon|Southern
479|Shepherds Bush|604|Wembley Central|Southern
490|South Bermondsey|344|London Bridge|Southern
491|South Croydon|440|Purley Oaks|Southern
491|South Croydon|472|Sanderstead|Southern
498|South Merton|373|Morden South|Southern
509|St Helier|542|Sutton Common|Southern
531|Streatham|366|Mitcham Eastfields|Southern
531|Streatham|532|Streatham Common|Southern
532|Streatham Common|391|Norbury|Southern
533|Streatham Hill|620|West Norwood|Southern
541|Sutton|46|Belmont|Southern
541|Sutton|113|Cheam|Southern
542|Sutton Common|623|West Sutton|Southern
544|Sydenham|149|Crystal Palace|Southern
544|Sydenham|423|Penge West|Southern
547|Tadworth|549|Tattenham Corner|Southern
556|Thornton Heath|474|Selhurst|Southern
558|Tooting|264|Haydons Road|Southern
567|Tulse Hill|393|North Dulwich|Southern
567|Tulse Hill|531|Streatham|Southern
567|Tulse Hill|533|Streatham Hill|Southern
581|Victoria|34|Battersea Park|Southern
582|Waddon|584|Wallington|Southern
584|Wallington|100|Carshalton Beeches|Southern
589|Wandsworth Common|24|Balham|Southern
604|Wembley Central|260|Harrow and Wealdstone|Southern
608|West Brompton|305|Kensington|Southern
609|West Croydon|582|Waddon|Southern
620|West Norwood|533|Streatham Hill|Southern
620|West Norwood|567|Tulse Hill|Southern
623|West Sutton|541|Sutton|Southern
633|Whyteleafe|634|Whyteleafe South|Southern
634|Whyteleafe South|102|Caterham|Southern
637|Wimbledon|638|Wimbledon Chase|Southern
638|Wimbledon Chase|498|South Merton|Southern
646|Woodmansterne|121|Chipstead|Southern
3|Acton Main Line|417|Paddington|TfL Rail
71|Brentwood|478|Shenfield|TfL Rail
106|Chadwell Heath|463|Romford|TfL Rail
167|Ealing Broadway|3|Acton Main Line|TfL Rail
214|Forest Gate|354|Manor Park|TfL Rail
221|Gidea Park|256|Harold Wood|TfL Rail
227|Goodmayes|106|Chadwell Heath|TfL Rail
254|Hanwell|612|West Ealing|TfL Rail
256|Harold Wood|71|Brentwood|TfL Rail
266|Hayes and Harlington|504|Southall|TfL Rail
268|Heathrow Terminal 4|270|Heathrow Terminals 1 2 3|TfL Rail
270|Heathrow Terminals 1 2 3|266|Hayes and Harlington|TfL Rail
296|Ilford|475|Seven Kings|TfL Rail
342|Liverpool Street|527|Stratford|TfL Rail
354|Manor Park|296|Ilford|TfL Rail
357|Maryland|214|Forest Gate|TfL Rail
463|Romford|221|Gidea Park|TfL Rail
475|Seven Kings|227|Goodmayes|TfL Rail
504|Southall|254|Hanwell|TfL Rail
527|Stratford|357|Maryland|TfL Rail
612|West Ealing|167|Ealing Broadway|TfL Rail
37|Beckenham Hill|45|Bellingham|Thameslink
38|Beckenham Junction|306|Kent House|Thameslink
45|Bellingham|103|Catford|Thameslink
55|Bickley|76|Bromley South|Thameslink
57|Blackfriars|127|City Thameslink|Thameslink
76|Bromley South|482|Shortlands|Thameslink
99|Carshalton|541|Sutton|Thameslink
103|Catford|145|Crofton Park|Thameslink
127|City Thameslink|206|Farringdon|Thameslink
144|Cricklewood|271|Hendon|Thameslink
145|Crofton Park|408|Nunhead|Thameslink
159|Denmark Hill|184|Elephant and Castle|Thameslink
172|East Croydon|439|Purley|Thameslink
184|Elephant and Castle|57|Blackfriars|Thameslink
206|Farringdon|514|St Pancras|Thameslink
239|Hackbridge|99|Carshalton|Thameslink
264|Haydons Road|558|Tooting|Thameslink
271|Hendon|363|Mill Hill Broadway|Thameslink
273|Herne Hill|347|Loughborough Junction|Thameslink
273|Herne Hill|567|Tulse Hill|Thameslink
306|Kent House|422|Penge East|Thameslink
307|Kentish Town|616|West Hampstead Thameslink|Thameslink
344|London Bridge|172|East Croydon|Thameslink
347|Loughborough Junction|184|Elephant and Castle|Thameslink
363|Mill Hill Broadway|188|Elstree and Borehamwood|Thameslink
366|Mitcham Eastfields|367|Mitcham Junction|Thameslink
367|Mitcham Junction|239|Hackbridge|Thameslink
373|Morden South|498|South Merton|Thameslink
408|Nunhead|421|Peckham Rye|Thameslink
413|Orpington|425|Petts Wood|Thameslink
421|Peckham Rye|159|Denmark Hill|Thameslink
422|Penge East|545|Sydenham Hill|Thameslink
425|Petts Wood|55|Bickley|Thameslink
439|Purley|139|Coulsdon South|Thameslink
449|Ravensbourne|37|Beckenham Hill|Thameslink
482|Shortlands|38|Beckenham Junction|Thameslink
482|Shortlands|449|Ravensbourne|Thameslink
498|South Merton|638|Wimbledon Chase|Thameslink
509|St Helier|373|Morden South|Thameslink
513|St Mary Cray|55|Bickley|Thameslink
514|St Pancras|307|Kentish Town|Thameslink
531|Streatham|366|Mitcham Eastfields|Thameslink
541|Sutton|623|West Sutton|Thameslink
542|Sutton Common|509|St Helier|Thameslink
545|Sydenham Hill|611|West Dulwich|Thameslink
558|Tooting|531|Streatham|Thameslink
567|Tulse Hill|172|East Croydon|Thameslink
567|Tulse Hill|531|Streatham|Thameslink
611|West Dulwich|273|Herne Hill|Thameslink
616|West Hampstead Thameslink|144|Cricklewood|Thameslink
623|West Sutton|542|Sutton Common|Thameslink
637|Wimbledon|264|Haydons Road|Thameslink
638|Wimbledon Chase|637|Wimbledon|Thameslink
5|Addington Village|209|Fieldway|Tramlink
6|Addiscombe|59|Blackhorse Lane|Tramlink
14|Ampere Way|583|Waddon Marsh|Tramlink
19|Arena|186|Elmers End|Tramlink
19|Arena|259|Harrington Road|Tramlink
22|Avenue Road|39|Beckenham Road|Tramlink
39|Beckenham Road|38|Beckenham Junction|Tramlink
43|Beddington Lane|554|Therapia Lane|Tramlink
44|Belgrave Walk|365|Mitcham|Tramlink
56|Birkbeck|22|Avenue Road|Tramlink
59|Blackhorse Lane|647|Woodside|Tramlink
105|Centrale|609|West Croydon|Tramlink
126|Church Street|105|Centrale|Tramlink
138|Coombe Lane|232|Gravel Hill|Tramlink
166|Dundonald Road|361|Merton Park|Tramlink
172|East Croydon|220|George Street|Tramlink
172|East Croydon|333|Lebanon Road|Tramlink
209|Fieldway|317|King Henry's Drive|Tramlink
220|George Street|126|Church Street|Tramlink
232|Gravel Hill|5|Addington Village|Tramlink
259|Harrington Road|56|Birkbeck|Tramlink
317|King Henry's Drive|380|New Addington|Tramlink
333|Lebanon Road|473|Sandilands|Tramlink
343|Lloyd Park|138|Coombe Lane|Tramlink
361|Merton Park|372|Morden Road|Tramlink
365|Mitcham|367|Mitcham Junction|Tramlink
367|Mitcham Junction|43|Beddington Lane|Tramlink
372|Morden Road|426|Phipps Bridge|Tramlink
426|Phipps Bridge|44|Belgrave Walk|Tramlink
457|Reeves Corner|105|Centrale|Tramlink
473|Sandilands|6|Addiscombe|Tramlink
473|Sandilands|343|Lloyd Park|Tramlink
554|Therapia Lane|14|Ampere Way|Tramlink
583|Waddon Marsh|588|Wandle Park|Tramlink
588|Wandle Park|457|Reeves Corner|Tramlink
602|Wellesley Road|172|East Croydon|Tramlink
609|West Croydon|602|Wellesley Road|Tramlink
637|Wimbledon|166|Dundonald Road|Tramlink
647|Woodside|19|Arena|Tramlink
60|Blackhorse Road|562|Tottenham Hale|Victoria
200|Euston|595|Warren Street|Victoria
213|Finsbury Park|278|Highbury and Islington|Victoria
234|Green Park|581|Victoria|Victoria
278|Highbury and Islington|319|Kings Cross St. Pancras|Victoria
319|Kings Cross St. Pancras|200|Euston|Victoria
416|Oxford Circus|234|Green Park|Victoria
428|Pimlico|580|Vauxhall|Victoria
476|Seven Sisters|213|Finsbury Park|Victoria
523|Stockwell|73|Brixton|Victoria
562|Tottenham Hale|476|Seven Sisters|Victoria
580|Vauxhall|523|Stockwell|Victoria
581|Victoria|428|Pimlico|Victoria
586|Walthamstow Central|60|Blackhorse Road|Victoria
595|Warren Street|416|Oxford Circus|Victoria
597|Waterloo|25|Bank|Waterloo and City
